year,start_date,end_date,start_close,end_close,annual_return,max_drawdown_from_year_high,year_high,year_low,trading_days,source
1971,1971-01-04,1971-12-31,91.1500,102.0900,0.107868,-0.153977,105.6000,89.3400,253,Yahoo Finance chart API ^GSPC
1972,1972-01-03,1972-12-29,101.6700,118.0500,0.156333,-0.065521,119.7900,100.8700,251,Yahoo Finance chart API ^GSPC
1973,1973-01-02,1973-12-31,119.1000,97.5500,-0.173655,-0.252095,121.7400,91.0500,252,Yahoo Finance chart API ^GSPC
1974,1974-01-02,1974-12-31,97.6800,68.5600,-0.297181,-0.396734,101.0500,60.9600,253,Yahoo Finance chart API ^GSPC
1975,1975-01-02,1975-12-31,70.2300,90.1900,0.315490,-0.155415,96.5800,68.6500,253,Yahoo Finance chart API ^GSPC
1976,1976-01-02,1976-12-31,90.9000,107.4600,0.191485,-0.096946,108.7200,89.8100,253,Yahoo Finance chart API ^GSPC
1977,1977-01-03,1977-12-30,107.0000,95.1000,-0.115020,-0.166342,107.9700,90.0100,252,Yahoo Finance chart API ^GSPC
1978,1978-01-03,1978-12-29,93.8200,96.1100,0.010620,-0.151782,108.0500,86.4500,252,Yahoo Finance chart API ^GSPC
1979,1979-01-02,1979-12-31,96.7300,107.9400,0.123088,-0.116797,112.1600,95.2200,253,Yahoo Finance chart API ^GSPC
1980,1980-01-02,1980-12-31,105.7600,135.7600,0.257736,-0.216187,141.9600,94.2300,253,Yahoo Finance chart API ^GSPC
1981,1981-01-02,1981-12-31,136.3400,122.5500,-0.097304,-0.214724,140.3200,110.1900,253,Yahoo Finance chart API ^GSPC
1982,1982-01-04,1982-12-31,122.7400,140.6400,0.147613,-0.173941,144.3600,102.2000,253,Yahoo Finance chart API ^GSPC
1983,1983-01-03,1983-12-30,138.3400,164.9300,0.172710,-0.076340,172.6500,138.0800,253,Yahoo Finance chart API ^GSPC
1984,1984-01-03,1984-12-31,164.0400,167.2400,0.014006,-0.131414,170.4100,147.2600,253,Yahoo Finance chart API ^GSPC
1985,1985-01-02,1985-12-31,165.3700,211.2800,0.263334,-0.084766,213.0800,163.3600,252,Yahoo Finance chart API ^GSPC
1986,1986-01-02,1986-12-31,209.5900,242.1700,0.146204,-0.102895,254.8700,202.6000,253,Yahoo Finance chart API ^GSPC
1987,1987-01-02,1987-12-31,246.4500,247.0800,0.020275,-0.359377,337.8900,216.4600,253,Yahoo Finance chart API ^GSPC
1988,1988-01-04,1988-12-30,255.9400,277.7200,0.124008,-0.087258,283.9500,240.1700,253,Yahoo Finance chart API ^GSPC
